sample_index,path,actual_class,predicted_class,confidence,dataset
360,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom409.jpg,03_FAW_symptoms,Maize_Healthy,0.5029,Rice_and_Maize_Dataset
366,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom415.jpg,03_FAW_symptoms,Maize_Healthy,0.7064,Rice_and_Maize_Dataset
370,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom419.jpg,03_FAW_symptoms,Maize_Healthy,0.8033,Rice_and_Maize_Dataset
375,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom424.jpg,03_FAW_symptoms,04_sorghum_downy_mildew,0.3483,Rice_and_Maize_Dataset
376,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom425.jpg,03_FAW_symptoms,02_fall_armyworm,0.9015,Rice_and_Maize_Dataset
377,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom426.jpg,03_FAW_symptoms,Maize_Healthy,0.9704,Rice_and_Maize_Dataset
378,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom427.jpg,03_FAW_symptoms,Maize_Healthy,0.6156,Rice_and_Maize_Dataset
379,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom428.jpg,03_FAW_symptoms,Maize_Healthy,0.5803,Rice_and_Maize_Dataset
384,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom433.jpg,03_FAW_symptoms,Maize_Healthy,0.8715,Rice_and_Maize_Dataset
385,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom434.jpg,03_FAW_symptoms,04_sorghum_downy_mildew,0.6257,Rice_and_Maize_Dataset
387,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom436.jpg,03_FAW_symptoms,Maize_Healthy,0.903,Rice_and_Maize_Dataset
388,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom437.jpg,03_FAW_symptoms,Maize_Healthy,0.9752,Rice_and_Maize_Dataset
389,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom438.jpg,03_FAW_symptoms,Maize_Healthy,0.8792,Rice_and_Maize_Dataset
390,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom439.jpg,03_FAW_symptoms,Maize_Healthy,0.9302,Rice_and_Maize_Dataset
391,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom440.jpg,03_FAW_symptoms,Maize_Healthy,0.8577,Rice_and_Maize_Dataset
392,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom441.jpg,03_FAW_symptoms,Maize_Healthy,0.7158,Rice_and_Maize_Dataset
396,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom445.jpg,03_FAW_symptoms,Maize_Healthy,0.6818,Rice_and_Maize_Dataset
398,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom447.jpg,03_FAW_symptoms,01_Bacterial_leaf_blight,0.4533,Rice_and_Maize_Dataset
402,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\01_Bacterial_leaf_blight\01_Bacterial_leaf_blight_069.jpg,01_Bacterial_leaf_blight,05_Leaf_folder,0.8749,Rice_and_Maize_Dataset
409,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\01_Bacterial_leaf_blight\01_Bacterial_leaf_blight_186.jpg,01_Bacterial_leaf_blight,04_leaf_sheath_blight,0.8935,Rice_and_Maize_Dataset
413,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\01_Bacterial_leaf_blight\7bdd83e6-29d7-4fc1-af4c-f4f0e406bbff.Jpg,01_Bacterial_leaf_blight,02_Brown_spot,0.8524,Rice_and_Maize_Dataset
415,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\01_Bacterial_leaf_blight\7c3adcf1-d82f-4984-b67b-fbfee5d9f589.Jpg,01_Bacterial_leaf_blight,04_leaf_sheath_blight,0.835,Rice_and_Maize_Dataset
420,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\01_Bacterial_leaf_blight\7d67f079-1c55-4e82-9989-b214e1823339.Jpg,01_Bacterial_leaf_blight,Rice_Healthy,0.8603,Rice_and_Maize_Dataset
421,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\01_Bacterial_leaf_blight\7d724a9a-b0e8-47fd-a4a1-2cd2e30a0172.Jpg,01_Bacterial_leaf_blight,04_leaf_sheath_blight,0.6353,Rice_and_Maize_Dataset
430,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\01_Bacterial_leaf_blight\8a5a4935-7b1a-4e32-975f-e8908cbfc15c.Jpg,01_Bacterial_leaf_blight,03_False_smut,0.4818,Rice_and_Maize_Dataset
434,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\01_Bacterial_leaf_blight\8aaa24a2-d3d6-43dd-94d0-9d4b850611df.Jpg,01_Bacterial_leaf_blight,04_leaf_sheath_blight,0.6175,Rice_and_Maize_Dataset
462,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\02_Brown_spot\3b040119-80de-4df7-89dd-853fab04c1c8.Jpg,02_Brown_spot,03_False_smut,0.5237,Rice_and_Maize_Dataset
463,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\02_Brown_spot\3b426548-2b0f-4b6f-801d-d5500d942b43.Jpg,02_Brown_spot,04_leaf_sheath_blight,0.5082,Rice_and_Maize_Dataset
470,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\02_Brown_spot\3c4dc9e9-51db-4c94-8bb8-60259baf8b78.Jpg,02_Brown_spot,04_leaf_sheath_blight,0.9271,Rice_and_Maize_Dataset
473,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\02_Brown_spot\3c73de7b-649d-4d93-9da4-616f76203487.Jpg,02_Brown_spot,07_White_stem_borer,0.7547,Rice_and_Maize_Dataset
479,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\02_Brown_spot\3ce4a258-816e-416e-9a4a-58088f8e2061.Jpg,02_Brown_spot,Rice_Healthy,0.3436,Rice_and_Maize_Dataset
482,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\02_Brown_spot\3cf59501-48bb-4499-8f73-9162c1e4d084.Jpg,02_Brown_spot,04_leaf_sheath_blight,0.9806,Rice_and_Maize_Dataset
495,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\02_Brown_spot\3e6c3902-fe0d-4a5a-995c-ad79c8121767.Jpg,02_Brown_spot,06_Rice_skipper,0.9874,Rice_and_Maize_Dataset
496,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\02_Brown_spot\3e840b3c-bb87-4409-907c-ae5dba6ea4a8.Jpg,02_Brown_spot,05_Leaf_folder,0.4367,Rice_and_Maize_Dataset
497,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\02_Brown_spot\3e9032f6-b77f-4e9c-a9a3-32a8d8797083.Jpg,02_Brown_spot,04_leaf_sheath_blight,0.7086,Rice_and_Maize_Dataset
518,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\03_False_smut\1f2dcdc8-91da-42d8-a44e-eaff7202c8f6.Jpg,03_False_smut,02_Brown_spot,0.5096,Rice_and_Maize_Dataset
522,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\03_False_smut\2a8a4d5e-de12-4a07-bbae-5a94753b74a0.Jpg,03_False_smut,04_leaf_sheath_blight,0.7212,Rice_and_Maize_Dataset
552,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\04_leaf_sheath_blight\05_leaf_sheath_blight_004.jpg,04_leaf_sheath_blight,07_White_stem_borer,0.4881,Rice_and_Maize_Dataset
574,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\04_leaf_sheath_blight\21bd33d6-90dc-441a-85b6-af7d606ca5dd.Jpg,04_leaf_sheath_blight,01_Bacterial_leaf_blight,0.467,Rice_and_Maize_Dataset
579,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\04_leaf_sheath_blight\23c553a6-7223-4bd2-b956-54f6670df3d9.Jpg,04_leaf_sheath_blight,03_False_smut,0.5948,Rice_and_Maize_Dataset
586,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\04_leaf_sheath_blight\9d7353c6-45e8-44f9-a211-a545ea02b73f.Jpg,04_leaf_sheath_blight,02_Brown_spot,0.364,Rice_and_Maize_Dataset
587,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\04_leaf_sheath_blight\9dc18330-2dca-4ea2-8c84-568126882bce.Jpg,04_leaf_sheath_blight,01_Bacterial_leaf_blight,0.4331,Rice_and_Maize_Dataset
591,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Disease\04_leaf_sheath_blight\9e38c20a-465e-4898-b07f-8490358d86d8.Jpg,04_leaf_sheath_blight,01_Bacterial_leaf_blight,0.6762,Rice_and_Maize_Dataset
601,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Healthy\00c4e78d-21fb-425c-bdac-71b9bf00f010.Jpg,Rice_Healthy,01_Bacterial_leaf_blight,0.8756,Rice_and_Maize_Dataset
607,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Healthy\0ac88bf1-e050-4f5f-bddf-8ece9e3fcfab.Jpg,Rice_Healthy,01_Bacterial_leaf_blight,0.5774,Rice_and_Maize_Dataset
609,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Healthy\0b2b0e79-1d5b-41b1-92b5-6a7f6b680164.Jpg,Rice_Healthy,01_Bacterial_leaf_blight,0.6272,Rice_and_Maize_Dataset
625,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Healthy\1c0d72ee-ce7e-4066-a163-1c2dcebc86df.Jpg,Rice_Healthy,02_Brown_spot,0.3746,Rice_and_Maize_Dataset
631,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Healthy\1d1fdc49-6bea-4722-a22a-2be9b2e2be31.Jpg,Rice_Healthy,05_Leaf_folder,0.5002,Rice_and_Maize_Dataset
640,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Healthy\1fd28e2d-3798-426e-a7c1-55786b3d48aa.Jpg,Rice_Healthy,04_leaf_sheath_blight,0.3879,Rice_and_Maize_Dataset
659,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\05_Leaf_folder\09_Leaf_folder_insect_045.jpg,05_Leaf_folder,04_leaf_sheath_blight,0.5369,Rice_and_Maize_Dataset
666,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\05_Leaf_folder\3e4d70db-95cf-4558-903a-0dcaa4b0f8f5.Jpg,05_Leaf_folder,06_Rice_skipper,0.9993,Rice_and_Maize_Dataset
667,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\05_Leaf_folder\3e54e6c5-3e27-4d0c-8140-6e1e9b4d501c.Jpg,05_Leaf_folder,06_Rice_skipper,0.9974,Rice_and_Maize_Dataset
672,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\05_Leaf_folder\3ec617ef-c9ad-4d91-8155-87c1564fc570.Jpg,05_Leaf_folder,02_Brown_spot,0.8848,Rice_and_Maize_Dataset
675,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\05_Leaf_folder\3f4c939c-a105-485d-b0f4-5e7d77170c63.Jpg,05_Leaf_folder,04_leaf_sheath_blight,0.7502,Rice_and_Maize_Dataset
678,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\05_Leaf_folder\3fcaa80a-529d-44b5-a540-a1937ad38eac.Jpg,05_Leaf_folder,03_False_smut,0.7818,Rice_and_Maize_Dataset
682,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\05_Leaf_folder\3fe4cbb3-d97e-4105-abd8-7be0aa4d3922.Jpg,05_Leaf_folder,01_Bacterial_leaf_blight,0.5207,Rice_and_Maize_Dataset
685,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\05_Leaf_folder\4a099c9e-ddcb-4ea2-ae18-0a5ab5773ca3.Jpg,05_Leaf_folder,01_Bacterial_leaf_blight,0.4908,Rice_and_Maize_Dataset
695,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\05_Leaf_folder\4b824bb3-b54d-4f0d-b2df-425b3be32a9e.Jpg,05_Leaf_folder,04_leaf_sheath_blight,0.801,Rice_and_Maize_Dataset
713,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\06_Rice_skipper\13_Rice_skipper_larvae_061.jpg,06_Rice_skipper,05_Leaf_folder,0.8933,Rice_and_Maize_Dataset
715,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\06_Rice_skipper\7acd6007-574c-41c4-a3d3-4489cea69102.Jpg,06_Rice_skipper,05_Leaf_folder,0.5022,Rice_and_Maize_Dataset
722,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\06_Rice_skipper\7cc95bf0-c89c-4c9c-89f6-2c2025076305.Jpg,06_Rice_skipper,07_White_stem_borer,0.9991,Rice_and_Maize_Dataset
729,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\06_Rice_skipper\7e961052-0751-42b9-ac8c-e1d1a318fd92.Jpg,06_Rice_skipper,05_Leaf_folder,0.6555,Rice_and_Maize_Dataset
740,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\06_Rice_skipper\8b56807f-9a81-408a-b61e-901e020b44ce.Jpg,06_Rice_skipper,07_White_stem_borer,0.9991,Rice_and_Maize_Dataset
743,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\06_Rice_skipper\8bafb171-e270-4aa4-b2e7-7425cbbf4850.Jpg,06_Rice_skipper,07_White_stem_borer,0.9818,Rice_and_Maize_Dataset
770,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\07_White_stem_borer\3d6d22db-7812-406b-a2b7-f58ca8ea0744.Jpg,07_White_stem_borer,04_leaf_sheath_blight,0.9865,Rice_and_Maize_Dataset
781,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\07_White_stem_borer\6ec4af09-78d6-4d04-82a6-7c1287744acc.Jpg,07_White_stem_borer,03_False_smut,0.893,Rice_and_Maize_Dataset
798,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Rice\Insect-pests\07_White_stem_borer\9d2c0dff-6735-49be-b029-63c207bc7711.Jpg,07_White_stem_borer,02_fall_armyworm,0.9972,Rice_and_Maize_Dataset
